"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
0,15,12,15,20,15,1,16,25,20,29,33,41,49,40,35,44,50,48,41,48,47,47,54,45,69,55,51,52,53,64,60,65,69,62,63,72,61,60,69,61,61,62,73,61,69,63,67,80,91
15,0,5,4,9,4,14,5,14,9,18,22,30,38,29,24,33,39,37,30,37,36,36,43,34,58,44,40,41,42,53,49,54,58,51,52,61,50,49,58,50,50,51,62,50,58,52,56,69,80
12,5,0,5,10,5,11,6,15,10,19,23,31,39,30,25,34,40,38,31,38,37,37,44,35,59,45,41,42,43,54,50,55,59,52,53,62,51,50,59,51,51,52,63,51,59,53,57,70,81
15,4,5,0,9,4,14,3,14,9,18,22,30,38,29,24,33,39,37,30,37,36,36,43,34,58,44,40,41,42,53,49,54,58,51,52,61,50,49,58,50,50,51,62,50,58,52,56,69,80
20,9,10,9,0,5,19,10,9,4,13,17,25,33,24,19,28,34,32,25,32,31,31,38,29,53,39,35,36,37,48,44,49,53,46,47,56,45,44,53,45,45,46,57,45,53,47,51,64,75
15,4,5,4,5,0,14,5,10,5,14,18,26,34,25,20,29,35,33,26,33,32,32,39,30,54,40,36,37,38,49,45,50,54,47,48,57,46,45,54,46,46,47,58,46,54,48,52,65,76
1,14,11,14,19,14,0,15,24,19,28,32,40,48,39,34,43,49,47,40,47,46,46,53,44,68,54,50,51,52,63,59,64,68,61,62,71,60,59,68,60,60,61,72,60,68,62,66,79,90
16,5,6,3,10,5,15,0,15,10,19,23,31,39,30,25,34,40,38,31,38,37,37,44,35,59,45,41,42,43,54,50,55,59,52,53,62,51,50,59,51,51,52,63,51,59,53,57,70,81
25,14,15,14,9,10,24,15,0,5,8,10,18,26,17,12,21,27,25,18,25,24,24,31,22,46,32,28,29,30,41,37,42,46,39,40,49,38,37,46,38,38,39,50,38,46,40,44,57,68
20,9,10,9,4,5,19,10,5,0,9,13,21,29,20,15,24,30,28,21,28,27,27,34,25,49,35,31,32,33,44,40,45,49,42,43,52,41,40,49,41,41,42,53,41,49,43,47,60,71
29,18,19,18,13,14,28,19,8,9,0,16,24,32,23,18,27,33,31,24,31,30,30,37,28,52,38,34,35,36,47,43,48,52,45,46,55,44,43,52,44,44,45,56,44,52,46,50,63,74
33,22,23,22,17,18,32,23,10,13,16,0,14,22,11,4,15,21,21,12,21,20,20,27,18,42,28,22,23,26,37,31,38,42,33,36,43,32,33,42,34,32,35,44,32,40,36,40,51,62
41,30,31,30,25,26,40,31,18,21,24,14,0,28,21,16,25,31,27,22,27,26,26,33,24,48,34,32,33,32,43,41,44,48,43,42,53,42,39,48,40,42,41,54,42,49,42,46,61,72
49,38,39,38,33,34,48,39,26,29,32,22,28,0,29,24,33,39,9,30,9,8,8,15,4,30,16,40,41,14,25,49,26,30,51,24,61,50,21,30,22,50,23,62,50,58,24,28,69,80
40,29,30,29,24,25,39,30,17,20,23,11,21,29,0,13,10,14,28,1,28,27,27,34,25,49,35,15,16,33,44,24,45,49,26,43,36,25,40,49,41,25,42,37,25,33,43,47,44,55
35,24,25,24,19,20,34,25,12,15,18,4,16,24,13,0,17,23,23,14,23,22,22,29,20,44,30,24,25,28,39,33,40,44,35,38,45,34,35,44,36,34,37,46,34,42,38,42,53,64
44,33,34,33,28,29,43,34,21,24,27,15,25,33,10,17,0,20,32,11,32,31,31,38,29,53,39,21,22,37,48,30,49,53,32,47,42,31,44,53,45,31,46,43,31,39,47,51,50,61
50,39,40,39,34,35,49,40,27,30,33,21,31,39,14,23,20,0,38,15,38,37,37,44,35,59,45,1,2,43,54,10,55,59,12,53,22,11,50,59,51,11,52,23,11,19,53,57,30,41
48,37,38,37,32,33,47,38,25,28,31,21,27,9,28,23,32,38,0,29,8,7,7,14,5,29,15,39,40,13,24,48,25,29,50,23,60,49,20,29,21,49,22,61,49,57,23,27,68,79
41,30,31,30,25,26,40,31,18,21,24,12,22,30,1,14,11,15,29,0,29,28,28,35,26,50,36,16,17,34,45,25,46,50,27,44,37,26,41,50,42,26,43,38,26,34,44,48,45,56
48,37,38,37,32,33,47,38,25,28,31,21,27,9,28,23,32,38,8,29,0,7,5,14,5,29,15,39,40,13,24,48,25,29,50,23,60,49,20,29,21,49,22,61,49,57,23,27,68,79
47,36,37,36,31,32,46,37,24,27,30,20,26,8,27,22,31,37,7,28,7,0,6,13,4,28,14,38,39,12,23,47,24,28,49,22,59,48,19,28,20,48,21,60,48,56,22,26,67,78
47,36,37,36,31,32,46,37,24,27,30,20,26,8,27,22,31,37,7,28,5,6,0,13,4,28,14,38,39,12,23,47,24,28,49,22,59,48,19,28,20,48,21,60,48,56,22,26,67,78
54,43,44,43,38,39,53,44,31,34,37,27,33,15,34,29,38,44,14,35,14,13,13,0,11,23,5,45,46,3,18,54,19,23,56,17,66,55,14,23,15,55,16,67,55,63,17,21,74,85
45,34,35,34,29,30,44,35,22,25,28,18,24,4,25,20,29,35,5,26,5,4,4,11,0,26,12,36,37,10,21,45,22,26,47,20,57,46,17,26,18,46,19,58,46,54,20,24,65,76
69,58,59,58,53,54,68,59,46,49,52,42,48,30,49,44,53,59,29,50,29,28,28,23,26,0,24,60,61,22,33,69,34,38,71,32,81,70,29,38,30,70,31,82,70,78,32,36,89,100
55,44,45,44,39,40,54,45,32,35,38,28,34,16,35,30,39,45,15,36,15,14,14,5,12,24,0,46,47,2,19,55,20,24,57,18,67,56,15,24,16,56,17,68,56,64,18,22,75,86
51,40,41,40,35,36,50,41,28,31,34,22,32,40,15,24,21,1,39,16,39,38,38,45,36,60,46,0,1,44,55,9,56,60,11,54,21,10,51,60,52,10,53,22,10,18,54,58,29,40
52,41,42,41,36,37,51,42,29,32,35,23,33,41,16,25,22,2,40,17,40,39,39,46,37,61,47,1,0,45,56,8,57,61,10,55,20,9,52,61,53,9,54,21,9,17,55,59,28,39
53,42,43,42,37,38,52,43,30,33,36,26,32,14,33,28,37,43,13,34,13,12,12,3,10,22,2,44,45,0,17,53,18,22,55,16,65,54,13,22,14,54,15,66,54,62,16,20,73,84
64,53,54,53,48,49,63,54,41,44,47,37,43,25,44,39,48,54,24,45,24,23,23,18,21,33,19,55,56,17,0,64,21,25,66,11,76,65,6,15,17,65,10,77,65,73,19,23,84,95
60,49,50,49,44,45,59,50,37,40,43,31,41,49,24,33,30,10,48,25,48,47,47,54,45,69,55,9,8,53,64,0,65,69,12,63,18,7,60,69,61,7,62,19,7,15,63,67,30,37
65,54,55,54,49,50,64,55,42,45,48,38,44,26,45,40,49,55,25,46,25,24,24,19,22,34,20,56,57,18,21,65,0,26,67,20,77,66,17,26,18,66,19,78,66,74,20,4,85,96
69,58,59,58,53,54,68,59,46,49,52,42,48,30,49,44,53,59,29,50,29,28,28,23,26,38,24,60,61,22,25,69,26,0,71,24,81,70,21,30,12,70,23,82,70,78,14,28,89,100
62,51,52,51,46,47,61,52,39,42,45,33,43,51,26,35,32,12,50,27,50,49,49,56,47,71,57,11,10,55,66,12,67,71,0,65,24,13,62,71,63,13,64,25,13,21,65,69,26,43
63,52,53,52,47,48,62,53,40,43,46,36,42,24,43,38,47,53,23,44,23,22,22,17,20,32,18,54,55,16,11,63,20,24,65,0,75,64,7,16,16,64,9,76,64,72,18,22,83,94
72,61,62,61,56,57,71,62,49,52,55,43,53,61,36,45,42,22,60,37,60,59,59,66,57,81,67,21,20,65,76,18,77,81,24,75,0,17,72,81,73,13,74,23,11,19,75,79,42,41
61,50,51,50,45,46,60,51,38,41,44,32,42,50,25,34,31,11,49,26,49,48,48,55,46,70,56,10,9,54,65,7,66,70,13,64,17,0,61,70,62,6,63,18,6,14,64,68,31,36
60,49,50,49,44,45,59,50,37,40,43,33,39,21,40,35,44,50,20,41,20,19,19,14,17,29,15,51,52,13,6,60,17,21,62,7,72,61,0,11,13,61,6,73,61,69,15,19,80,91
69,58,59,58,53,54,68,59,46,49,52,42,48,30,49,44,53,59,29,50,29,28,28,23,26,38,24,60,61,22,15,69,26,30,71,16,81,70,11,0,22,70,15,82,70,78,24,28,89,100
61,50,51,50,45,46,60,51,38,41,44,34,40,22,41,36,45,51,21,42,21,20,20,15,18,30,16,52,53,14,17,61,18,12,63,16,73,62,13,22,0,62,15,74,62,70,6,20,81,92
61,50,51,50,45,46,60,51,38,41,44,32,42,50,25,34,31,11,49,26,49,48,48,55,46,70,56,10,9,54,65,7,66,70,13,64,13,6,61,70,62,0,63,14,2,10,64,68,31,32
62,51,52,51,46,47,61,52,39,42,45,35,41,23,42,37,46,52,22,43,22,21,21,16,19,31,17,53,54,15,10,62,19,23,64,9,74,63,6,15,15,63,0,75,63,71,17,21,82,93
73,62,63,62,57,58,72,63,50,53,56,44,54,62,37,46,43,23,61,38,61,60,60,67,58,82,68,22,21,66,77,19,78,82,25,76,23,18,73,82,74,14,75,0,12,20,76,80,43,42
61,50,51,50,45,46,60,51,38,41,44,32,42,50,25,34,31,11,49,26,49,48,48,55,46,70,56,10,9,54,65,7,66,70,13,64,11,6,61,70,62,2,63,12,0,8,64,68,31,30
69,58,59,58,53,54,68,59,46,49,52,40,49,58,33,42,39,19,57,34,57,56,56,63,54,78,64,18,17,62,73,15,74,78,21,72,19,14,69,78,70,10,71,20,8,0,72,76,39,34
63,52,53,52,47,48,62,53,40,43,46,36,42,24,43,38,47,53,23,44,23,22,22,17,20,32,18,54,55,16,19,63,20,14,65,18,75,64,15,24,6,64,17,76,64,72,0,22,83,94
67,56,57,56,51,52,66,57,44,47,50,40,46,28,47,42,51,57,27,48,27,26,26,21,24,36,22,58,59,20,23,67,4,28,69,22,79,68,19,28,20,68,21,80,68,76,22,0,87,98
80,69,70,69,64,65,79,70,57,60,63,51,61,69,44,53,50,30,68,45,68,67,67,74,65,89,75,29,28,73,84,30,85,89,26,83,42,31,80,89,81,31,82,43,31,39,83,87,0,61
91,80,81,80,75,76,90,81,68,71,74,62,72,80,55,64,61,41,79,56,79,78,78,85,76,100,86,40,39,84,95,37,96,100,43,94,41,36,91,100,92,32,93,42,30,34,94,98,61,0
